SERVICEORDERDATE,SERVICECODEDESCRIPTION,LATITUDE,LONGITUDE,ZIPCODE
2015-02-23,Recycling Collection - Missed,38.8929130976,-76.9899390775,20002.0
2015-02-23,Placement Violations,38.8239039279,-77.0030868392,20032.0
2015-02-23,Sanitation Enforcement,38.9083935347,-77.0245059424,20001.0
2015-02-23,Trash Collection - Missed,38.8866486709,-76.9889129911,20003.0
2015-02-23,Recycling Collection - Missed,38.8856558199,-77.0023245385,20003.0
2015-02-23,Snow/Ice Removal,38.9592383923,-77.0790064186,20015.0
2015-02-23,Snow/Ice Removal,38.9312585696,-77.0390436165,20010.0
2015-02-23,Parking Enforcement,38.8615415176,-76.984040904,20020.0
2015-02-23,Snow/Ice Removal,38.8248941159,-77.0075499342,20032.0
2015-02-23,Recycling Collection - Missed,38.9680913038,-77.0232788512,20012.0
